industry,YEAR(`date`),SUM(total_laid_off)
Aerospace,2025,1000.0
Aerospace,2024,1314.0
Aerospace,2023,497.0
Aerospace,2022,100.0
Aerospace,2020,561.0
AI,2025,174.0
AI,2024,58.0
AI,2023,230.0
Construction,2025,114.0
Construction,2024,NULL
Construction,2023,100.0
Construction,2022,433.0
Construction,2021,2434.0
Construction,2020,896.0
Consumer,2025,4992.0
Consumer,2024,11224.0
Consumer,2023,30303.0
Consumer,2022,19856.0
Consumer,2021,3600.0
Consumer,2020,6063.0
Crypto,2024,912.0
Crypto,2023,5104.0
Crypto,2022,8263.0
Crypto,2020,91.0
Data,2025,2690.0
Data,2024,2104.0
Data,2023,5533.0
Data,2022,1329.0
Data,2021,90.0
Data,2020,1268.0
Education,2025,248.0
Education,2024,2870.0
Education,2023,5885.0
Education,2022,8728.0
Education,2021,1943.0
Education,2020,685.0
Energy,2025,3258.0
Energy,2024,4819.0
Energy,2023,795.0
Energy,2022,635.0
Energy,2020,167.0
Finance,2025,2063.0
Finance,2024,11921.0
Finance,2023,16566.0
Finance,2022,12999.0
Finance,2021,NULL
Finance,2020,8624.0
Fitness,2024,790.0
Fitness,2023,363.0
Fitness,2022,5546.0
Fitness,2020,3142.0
Food,2025,893.0
Food,2024,7219.0
Food,2023,20822.0
Food,2022,11488.0
Food,2021,2644.0
Food,2020,6218.0
Hardware,2025,26558.0
Hardware,2024,26806.0
Hardware,2023,24459.0
Hardware,2022,3605.0
Healthcare,2025,97.0
Healthcare,2024,3908.0
Healthcare,2023,18470.0
Healthcare,2022,15058.0
Healthcare,2020,1125.0
HR,2025,1950.0
HR,2024,3797.0
HR,2023,5115.0
HR,2022,738.0
HR,2021,80.0
HR,2020,782.0
Infrastructure,2025,NULL
Infrastructure,2024,11003.0
Infrastructure,2023,4123.0
Infrastructure,2022,4951.0
Infrastructure,2021,160.0
Infrastructure,2020,377.0
Legal,2024,90.0
Legal,2023,346.0
Legal,2022,350.0
Legal,2020,270.0
Logistics,2025,413.0
Logistics,2024,334.0
Logistics,2023,2277.0
Logistics,2022,1473.0
Logistics,2020,1318.0
Manufacturing,2025,140.0
Manufacturing,2024,5808.0
Manufacturing,2023,1542.0
Marketing,2025,806.0
Marketing,2024,1438.0
Marketing,2023,5335.0
Marketing,2022,3597.0
Marketing,2021,21.0
Marketing,2020,2958.0
Media,2025,75.0
Media,2024,1960.0
Media,2023,5641.0
Media,2022,1879.0
Media,2021,83.0
Media,2020,1150.0
Other,2025,8424.0
Other,2024,16768.0
Other,2023,38687.0
Other,2022,6296.0
Other,2021,515.0
Other,2020,466.0
Product,2024,309.0
Product,2023,735.0
Product,2022,861.0
Product,2021,22.0
Product,2020,199.0
"Real Estate",2025,496.0
"Real Estate",2024,721.0
"Real Estate",2023,2498.0
"Real Estate",2022,9932.0
"Real Estate",2021,2900.0
"Real Estate",2020,3699.0
Recruiting,2025,105.0
Recruiting,2024,485.0
Recruiting,2023,2312.0
Recruiting,2022,380.0
Recruiting,2021,13.0
Recruiting,2020,2382.0
Retail,2025,1492.0
Retail,2024,9542.0
Retail,2023,32133.0
Retail,2022,21214.0
Retail,2021,1088.0
Retail,2020,8002.0
Sales,2025,1000.0
Sales,2024,1574.0
Sales,2023,9848.0
Sales,2022,2601.0
Sales,2020,1304.0
Security,2025,1067.0
Security,2024,1356.0
Security,2023,5025.0
Security,2022,3699.0
Security,2021,30.0
Security,2020,288.0
Support,2025,740.0
Support,2024,966.0
Support,2023,4197.0
Support,2022,1554.0
Support,2020,324.0
Transportation,2025,2350.0
Transportation,2024,19448.0
Transportation,2023,10947.0
Transportation,2022,16067.0
Transportation,2021,200.0
Transportation,2020,14656.0
Travel,2025,75.0
Travel,2024,3378.0
Travel,2023,4297.0
Travel,2022,1637.0
Travel,2020,13983.0
